label,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity,GrayLevelVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis
0,6.2651634,77.18482,0.0579901,25.239897,310.52966,2.6486866,128.38843,109.29752,14561.041,0.8419339,0.008862268,0.053164657,5.9580793,0.0007530834
0,6.3637443,156.79715,0.11780401,94.94645,302.3103,485.95636,862.10065,206.2006,8731.336,202.61845,0.47524294,0.26940754,342.8906,0.004838759
0,7.18682,308.67242,0.23191017,2.1038778,41.422237,90.72414,2111.3313,8.450038,15744.861,0.005560003,0.0005969351,0.38173127,831.97876,0.00023181422
0,6.6268864,80.275734,0.060312346,26.013828,242.75807,3.3321788,55.7994,100.16003,5626.509,2.1962674,0.031263527,0.07118231,3.8704085,0.004001506
0,7.1337857,175.13824,0.13158396,7.9744363,75.4613,47.28041,1681.0555,25.733284,35641.992,0.019791897,0.0006619535,0.20671625,401.213,0.00011767814
0,6.4314404,143.63411,0.10791443,89.84861,279.52142,603.5271,1134.4989,194.29977,12438.806,189.67648,0.451891,0.25276852,399.53326,0.0034191275
0,6.930041,207.26146,0.1557186,4.3131847,82.142,24.789751,535.5973,17.927122,10033.91,0.037952356,0.002464255,0.21018064,108.34169,0.00058253156
0,7.475904,380.41397,0.28581065,1.5557963,30.430504,242.24986,2810.9346,6.009767,18713.502,0.0047184476,0.0010170764,0.5062497,1310.449,0.0005154676
0,6.9256196,214.65138,0.16127077,3.909858,78.06086,25.83393,1492.3613,15.539444,23162.564,0.010958354,0.0007231026,0.2575635,388.42456,0.00019129842
0,6.823443,121.3967,0.09120713,10.452428,137.16228,24.554672,1111.1758,44.015778,53656.4,0.037816234,0.0010654079,0.12446542,108.92008,0.00019140664
0,7.419979,314.46506,0.23626226,8.922836,38.10143,325.25485,2209.767,16.966942,17914.62,10.259192,0.051524553,0.43708527,896.0294,0.0012387483
0,7.172797,332.6529,0.24992704,1.8142926,39.848988,104.17123,3082.247,7.29151,22124.629,0.0028732815,0.0003864016,0.42914134,1324.0775,0.00016768886
0,6.8042364,179.67468,0.13499224,80.916115,174.96544,412.32,850.4846,148.28926,6076.799,144.32155,0.35235238,0.30361712,340.4973,0.0026814127
0,7.1002045,228.84372,0.17193368,3.225553,61.584522,53.443176,2922.8123,13.435762,38842.266,0.0048551033,0.00038215658,0.2840746,801.0145,0.0001265315
0,7.1777506,340.7145,0.25598386,1.792741,39.32006,135.27835,2881.873,7.054095,21315.535,0.010011527,0.0022176062,0.44575655,1220.28,0.00079829304
0,6.154755,67.14575,0.050447598,30.86725,413.31854,1.034036,141.02328,173.44627,25005.752,1.2222797,0.007371324,0.028920827,3.8029478,0.00026909914
0,6.8079762,220.11194,0.16537337,3.1784647,85.76033,41.49868,3011.4622,14.767093,41560.242,0.0053832307,0.0003487783,0.23678546,784.00616,7.736569e-05
0,7.362169,351.7528,0.2642771,52.226517,80.15402,552.4898,1324.8369,78.813675,3574.1443,76.38061,0.22924352,0.51867265,957.3909,0.0031467997
0,7.0759516,233.32005,0.17529681,2.9588697,64.73704,46.31226,2091.3088,13.025545,25391.666,0.0070344275,0.00051975285,0.27300927,627.5239,0.0001348342
0,7.4992657,150.52667,0.113092914,13.193088,63.57551,110.325714,769.36066,36.407963,37662.36,2.7648408,0.02669551,0.2057648,111.519714,0.0014467479
0,6.9549193,118.28475,0.08886908,15.919443,121.94966,15.442467,54.329075,51.10368,1374.9602,20.364082,0.14102602,0.12982965,11.843544,0.007966211
0,7.2073402,227.31406,0.17078441,3.1402225,57.67318,53.571045,2043.4951,13.369647,28826.111,0.0066845207,0.0005890514,0.28140616,532.07263,0.0002087927
0,6.9356594,317.80542,0.2387719,1.979399,55.018032,59.69882,1177.5988,7.952667,9943.967,0.0076916604,0.0012066478,0.4020126,449.76224,0.00058362196
0,5.935584,60.401955,0.045380883,37.8595,491.94968,0.86166835,45.272728,250.02028,11632.99,5.568748,0.024756035,0.0124828275,0.56475973,0.00042203066
0,6.1766887,85.43877,0.06419141,19.602402,326.0939,1.4519929,82.14125,101.14425,8321.861,1.2837281,0.013169563,0.043526355,3.6308436,0.00062434725
0,7.0442753,212.91585,0.15996683,5.0740867,80.34185,63.830147,1764.2307,16.418482,28663.838,0.010397276,0.00088509213,0.31159067,521.8356,0.00041978195
0,6.8065476,221.86702,0.16669197,3.5832906,81.20886,22.436281,1587.0519,15.141247,24583.2,0.009786854,0.0006723754,0.2422188,378.86606,0.00016815757
0,6.8601155,73.86702,0.05549738,44.933025,157.3967,38.733955,97.09392,135.67618,7061.988,91.21692,0.28168225,0.105467215,11.479374,0.0037378948
0,7.0121803,299.33658,0.22489601,2.4793897,48.58828,63.346424,3608.9182,9.139745,29640.9,0.0029883962,0.00029739257,0.3855219,1481.6097,0.0001083872
0,6.047196,136.8227,0.10279691,97.5038,347.1142,325.57812,560.8813,233.6266,9710.925,228.22061,0.5046418,0.21647972,182.25586,0.0025499072
0,7.1978927,321.98123,0.24190925,2.24009,40.37791,124.59635,2289.3975,8.002254,16395.77,0.0047694794,0.0005767873,0.44792053,1076.3599,0.0002671047
0,7.362839,295.22238,0.22180495,2.3730552,41.417732,168.5691,3491.299,9.111195,33301.53,0.0035736284,0.00048602978,0.376894,1220.136,0.00022812144
