label,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,Mean,MeanAbsoluteDeviation,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance
0,781.0,1767.0,2708452000.0,5.6738615,375.0,3.7350316,2099.0,1376.556,282.72073,1455.0,217.0,1882.0,178.89723,1426.4993,-1.0661101,2708452000.0,0.024583405,139993.77
0,154.0,197.0,39337852.0,1.3775667,17.0,4.709253,238.0,171.02104,12.904103,167.0,138.0,100.0,7.744296,171.916,1.3343602,39337852.0,0.51025337,306.91617
0,158.0,248.0,55030964.0,2.5533595,49.0,2.8873022,298.0,200.23816,28.452436,199.0,83.0,215.0,20.383705,203.33612,0.035751555,55030964.0,0.19675359,1250.2535
0,510.0,1620.0,2094546300.0,5.678942,661.5,2.9436538,1800.0,1173.4463,371.18234,1339.0,0.0,1800.0,273.47452,1254.4575,-0.9245559,2094546300.0,0.023668956,196687.45
0,202.0,263.0,75216350.0,2.061629,25.0,6.93383,290.0,235.78513,20.967382,243.0,93.0,197.0,11.279412,237.72075,-1.7838593,75216350.0,0.31873754,916.53235
0,100.0,131.0,17872164.0,1.1190162,16.0,2.540718,149.0,115.302025,9.420021,115.0,85.0,64.0,7.1094184,115.87761,0.24380407,17872164.0,0.55136967,133.0628
0,0.0,1430.0,1664210300.0,4.968472,822.5,2.318437,1591.0,994.1337,442.33032,1256.0,0.0,1591.0,453.71304,1118.1886,-0.9668226,1664210300.0,0.04678529,262043.9
0,630.0,1749.0,2005873800.0,5.9660754,474.0,2.9328988,2182.0,1156.4906,315.44968,1157.0,140.0,2042.0,206.08585,1227.6167,0.04572774,2005873800.0,0.019718768,169572.12
0,811.0,1356.0,1469475300.0,4.891032,302.5,3.240007,1629.0,1028.0872,175.37239,975.0,258.0,1371.0,127.92546,1050.7324,0.20530808,1469475300.0,0.040676557,47075.38
0,1095.0,1458.0,2107381900.0,4.4626994,178.0,4.8657446,1643.0,1249.9421,111.72256,1233.0,440.0,1203.0,76.43174,1258.2954,-0.15804437,2107381900.0,0.05476131,20951.816
0,0.0,1267.0,1074337900.0,4.7600236,1037.0,1.5505986,1484.0,742.1262,461.6479,969.0,0.0,1484.0,456.80447,898.4242,-0.4601486,1074337900.0,0.07858211,256414.7
0,0.0,1403.0,929640060.0,4.0392494,1258.0,1.3645718,1717.0,578.5394,562.8789,365.0,0.0,1717.0,502.2389,835.7346,0.33849016,929640060.0,0.20646481,363744.44
0,0.0,1398.0,815197950.0,5.076192,1023.0,1.8511251,1965.0,581.74304,454.86594,473.0,0.0,1965.0,386.023,782.6048,0.45047417,815197950.0,0.08605687,274045.3
0,279.0,376.0,141652640.0,2.7858572,50.5,5.8850307,463.0,323.17206,32.433475,323.0,80.0,383.0,20.888142,326.22955,-0.7594509,141652640.0,0.18270384,1985.5474
0,134.0,198.0,39338770.0,2.0961728,25.0,6.5810523,257.0,169.47183,19.858177,173.0,33.0,224.0,11.230284,171.918,-1.4823923,39338770.0,0.30587658,835.0997
0,115.0,688.0,231908050.0,4.7750344,308.0,3.8913815,1118.0,340.61533,193.25763,251.0,61.0,1057.0,135.08513,417.4158,1.2463992,231908050.0,0.049210273,58217.152
0,729.0,1016.0,1022370400.0,4.18417,157.0,2.6795197,1209.0,869.296,90.13561,866.0,571.0,638.0,64.872284,876.4257,0.07723875,1022370400.0,0.06281184,12446.475
0,547.0,1191.0,1146122200.0,5.267047,308.0,3.7456703,1463.0,889.47784,202.66837,929.0,68.0,1395.0,130.28705,927.954,-0.8415646,1146122200.0,0.031535465,69927.766
0,791.0,1336.0,1615963000.0,4.9552245,340.0,2.043046,1548.0,1082.5154,175.85638,1109.0,533.0,1015.0,137.57332,1101.8607,-0.2345375,1615963000.0,0.035041977,42257.375
0,876.0,1199.0,1453563600.0,4.374843,172.0,5.160619,1707.0,1036.3599,103.870285,1029.0,723.0,984.0,71.56257,1045.0282,0.869691,1453563600.0,0.05740869,18042.076
0,177.0,1526.0,1140191600.0,5.6457663,1012.5,1.645417,1715.0,757.8445,473.93414,597.0,0.0,1715.0,394.9961,925.55005,0.31614232,1140191600.0,0.025959592,282314.6
0,94.0,148.0,21258948.0,1.8627378,27.0,6.4668837,188.0,124.00225,17.973225,130.0,0.0,188.0,11.455159,126.38102,-1.5757394,21258948.0,0.36180463,595.60254
0,238.0,1649.0,2307503900.0,5.5534053,520.5,3.4613485,1981.0,1218.1833,392.66922,1417.0,0.0,1981.0,255.12953,1316.6859,-1.2717952,2307503900.0,0.028491821,249691.3
0,0.0,269.0,58852020.0,2.7323842,131.5,2.2510195,321.0,183.00902,88.68688,240.0,0.0,321.0,90.66967,210.27695,-0.9511225,58852020.0,0.20415159,10724.093
0,581.0,1708.0,2526068500.0,5.6017814,372.5,4.51419,2115.0,1307.03,320.39325,1432.0,0.0,2115.0,187.86023,1377.633,-1.4429895,2526068500.0,0.026580513,189545.16
0,999.0,1584.0,2422446300.0,5.074244,260.5,6.383329,1814.0,1326.5763,179.78506,1374.0,163.0,1651.0,113.28839,1349.081,-1.4599481,2422446300.0,0.037135046,60215.215
0,117.0,149.0,23773652.0,1.1992538,16.0,2.9264605,169.0,133.0864,9.705243,133.0,93.0,76.0,6.905419,133.64691,0.049063437,23773652.0,0.5176977,149.50644
0,120.0,251.0,57332548.0,2.795858,57.5,3.8958876,295.0,201.09993,39.854942,218.0,35.0,260.0,25.933483,207.54468,-1.2346674,57332548.0,0.1840247,2633.612
0,1036.0,1623.0,2613240800.0,5.021976,272.5,4.3453774,1837.0,1381.2231,180.61827,1441.0,430.0,1407.0,116.57004,1401.2018,-1.2182575,2613240800.0,0.03878557,55589.086
0,902.0,1454.0,1846948500.0,4.9562573,372.5,2.1749759,1916.0,1158.0421,187.864,1129.0,715.0,1201.0,150.31018,1177.9812,0.3274956,1846948500.0,0.03616754,46578.312
0,340.0,1511.0,1907477000.0,5.4990263,434.5,3.5999622,1808.0,1116.5747,335.75278,1271.0,0.0,1808.0,214.17921,1197.128,-1.2552958,1907477000.0,0.028559558,186376.52
1,571.0,914.0,881826500.0,3.743213,162.5,3.172981,1006.0,802.719,110.31257,867.0,341.0,665.0,78.10758,813.959,-1.1876867,881826500.0,0.11410446,18171.47
