label,Busyness,Coarseness,Complexity,Contrast,Strength
0,1.9050679,0.008009616,18.26857,0.08592788,0.36063576
1,0.007814792,0.012173774,9514.285,0.16173159,60.46094
0,0.019640654,0.010123488,12618.917,0.3420106,61.133724
0,10.054568,0.006888928,10.612933,0.05402795,0.117374286
0,1.9569874,0.0077664894,2.7155528,0.009700409,0.07635859
0,0.07247313,0.004907183,8194.573,0.7920472,11.501233
0,0.039733656,0.0071568284,7028.2383,0.6661974,17.296867
0,0.064488135,0.009095444,1250.7034,0.09063155,4.9555974
0,0.60696965,0.008428246,49.001896,0.03213386,0.47456187
0,0.06812559,0.005721416,11837.561,1.0888909,11.936763
0,3.5998769,0.0070939157,2.7897656,0.008564264,0.08580841
0,0.3171143,0.003247093,3088.8525,0.65263116,20.787683
0,0.037880313,0.00847604,4683.3086,0.197116,9.715565
0,0.12260441,0.006775785,155.96602,0.028149351,1.056911
0,1.8818984,0.01361538,7.772938,0.040242888,0.33372244
0,1.0544758,0.0095138345,20.477879,0.028978754,0.39816347
0,0.06200635,0.008866425,3581.9282,0.37873888,7.9616523
0,5.588561,0.00323717,93.081856,0.3482427,0.8512135
0,0.08704793,0.0051314775,7291.972,0.8726328,31.255447
0,0.25234672,0.0077144895,487.67505,0.27377695,2.5706604
0,0.38977116,0.005761919,515.5681,0.2624758,1.4088448
0,0.043566402,0.007343805,3744.9595,0.1331915,10.458566
0,0.059752863,0.0081885625,4263.5757,0.3432426,7.7858872
0,0.58047706,0.0061644847,45.95058,0.022248778,0.37084022
0,0.2449341,0.007747084,377.74423,0.085573584,1.9521646
0,0.082849525,0.005854848,982.6995,0.05376545,5.34912
0,0.052458163,0.010543581,392.2857,0.061953314,2.8525474
1,0.022608852,0.012286886,3429.3357,0.2641072,16.200813
0,6.92761,0.0039155814,17.463045,0.1794013,0.20614032
0,0.024817027,0.008522992,7539.241,0.15960646,16.825262
0,0.0635379,0.006703731,1807.3289,0.09515695,4.484354
0,9.551204,0.00775396,10.468308,0.046731114,0.17078796
0,0.047030643,0.011613631,2800.536,0.37552342,16.806198
0,0.105380625,0.007837593,311.28354,0.04245209,2.3752286
0,0.6956776,0.0024645915,4372.9746,0.8324727,7.983318
0,0.04286942,0.0073027057,5453.5312,0.22185448,9.677907
0,0.93318695,0.008555239,22.223112,0.037827253,0.43373877
0,0.0530596,0.006526576,4353.9766,0.29066604,5.311615
0,0.119059786,0.009193196,374.1245,0.12779787,2.0058737
0,0.04638558,0.0061577046,10565.522,0.6675378,11.740526
0,0.06392186,0.00738261,3619.571,0.28964996,7.829441
0,6.384278,0.00624718,10.15761,0.07241996,0.20462455
0,0.050826915,0.007903584,2629.61,0.11101115,9.128532
0,0.4991654,0.007972215,204.84486,0.041138675,1.3672115
1,0.24023482,0.012186695,237.71486,0.09833471,2.5682726
0,1.6240611,0.00649118,5.1070127,0.008161087,0.12544373
0,0.112779506,0.006963045,1209.0399,0.14792834,2.9260333
0,0.062559575,0.003596372,15968.43,0.8969778,20.67175
0,0.037965402,0.008302508,3827.335,0.120651685,13.445738
0,0.044700567,0.007989608,2016.6221,0.07972949,7.5729175
1,0.7359919,0.010474139,15.348477,0.02241797,0.557613
0,0.73205423,0.01086851,58.95823,0.12079309,0.8011711
0,0.046561904,0.008975302,1226.8809,0.063745126,7.549709
0,0.39650163,0.0019046353,10271.979,1.0811644,30.099642
0,0.10859988,0.0032523533,12193.487,1.0227312,23.557735
0,0.035680827,0.006930295,10702.374,0.40838736,12.941364
0,0.025280096,0.009871567,6138.894,0.1938563,19.59802
0,0.2754172,0.0061547128,397.0429,0.11892485,2.2620227
0,2.3797183,0.0034081817,116.26607,0.3381117,0.7774433
1,0.017658181,0.00963658,8636.302,0.4338803,49.304512
0,0.42286456,0.002193677,3549.75,0.97315806,16.204939
0,0.14213333,0.006849181,385.54147,0.032348495,3.203133
0,0.03350327,0.009056476,2747.0854,0.06837582,11.871914
0,14.849765,0.0036465032,8.781396,0.7603906,0.2016282
0,3.7742105,0.0075014154,5.1713123,0.020521456,0.10739558
0,0.016572354,0.014508533,7566.5454,0.23875965,30.578444
0,0.052571587,0.005661759,2798.4136,0.09108861,7.982374
0,0.08722327,0.010411991,1785.3522,0.14038447,7.0813346
0,0.1237466,0.0077097127,1614.0359,0.56597817,4.5514383
0,0.09031954,0.006522337,3831.9268,0.2967086,5.3332553
0,0.06435741,0.004787086,8120.824,0.53084207,12.816021
0,5.1072173,0.0048399433,12.151619,0.17694868,0.16625938
0,0.18967453,0.009921367,218.51093,0.054967362,3.2680056
0,0.030845802,0.006917544,13723.242,0.47522283,15.106203
0,0.046880003,0.0069429767,4807.702,0.20187719,9.839031
0,0.036861602,0.0069115385,10839.136,0.44668767,12.927772
0,0.06085343,0.007874812,1569.7913,0.19234519,4.039067
0,0.18978712,0.009449557,366.14407,0.076910704,2.957616
0,0.5007566,0.00826198,139.03297,0.078624465,1.0371635
0,0.08363248,0.011423216,612.4662,0.13810484,3.7234354
0,1.72307,0.0062634475,5.637955,0.012890872,0.084358804
1,0.010129579,0.012975262,9179.967,0.2835445,40.140713
0,0.051825985,0.0065411427,6859.5933,0.3716001,8.258301
0,0.10740684,0.00850538,136.79674,0.020839974,1.7729012
0,0.024860842,0.00595847,14461.823,0.36052203,25.440094
0,1.1488487,0.006908475,15.761813,0.009190165,0.4405076
0,0.09691657,0.003288598,8288.252,0.92423695,29.706865
