label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
0,15.766505,0.025388898,191.24689,2376.847,12.326892,32369.408,0.3699249,0.0025812995,265.76007,0.427955,0.6797129,1564.6333,0.0006962316,6.9964185,0.4665665,7.7330832
0,17.676924,0.022662722,151.08377,3452.0283,5.1371794,18244.219,0.0017463907,0.00035358488,382.62564,0.4905457,0.72813886,2497.7832,0.00025867237,6.8701563,0.58602554,2.2253435
0,8.5671,0.018543506,375.45358,1873.7467,547.9632,24779.697,539.00836,0.0086215,241.14285,0.52195424,0.75035226,1345.715,0.0049355533,6.940281,0.34710744,539.6633
0,3.4347825,0.14933838,7.2967863,55.086956,16613.521,1055013.9,283.06113,0.048056047,1.9565217,0.08506616,0.20725839,12.408043,0.006406019,4.349649,0.01728024,13264.635
0,16.41411,0.025175016,126.046875,1230.4877,7.9677916,11318.895,0.011436636,0.0015858789,260.0,0.398773,0.6554749,771.2246,0.0010473991,7.0001373,0.48985726,3.8004324
0,12.923729,0.054761562,35.814762,2055.86,389.80933,701134.06,0.21819156,0.00053087104,74.10169,0.31399024,0.5783876,1167.4486,0.0003172201,6.166921,0.17731029,358.00165
0,13.928572,0.029261705,91.01163,3738.3088,34.867645,101437.164,0.012700271,0.00029610243,182.33194,0.3830503,0.6430915,2426.3162,0.00018707059,6.7683163,0.35762584,27.04881
0,9.5,0.020474138,370.8806,2207.6682,423.15732,22727.098,415.3626,0.0042946893,210.2069,0.4530321,0.69939923,1425.4883,0.0015094738,7.049424,0.34861007,414.92883
0,4.9411764,0.14532872,7.4783735,959.3823,8152.6177,7876132.5,8.472687,0.0010752288,4.2352943,0.12456747,0.32143146,314.86697,0.00034200217,4.572469,0.025544703,6620.1255
0,22.123173,0.046186164,52.078217,1493.5406,26.098122,38388.81,0.018617947,0.00086124026,182.32776,0.3806425,0.64074314,929.0731,0.0006104034,6.4547844,0.3598798,18.376917
0,15.449409,0.020301457,267.47058,2276.8896,9.275952,12597.408,4.27433,0.0030081898,380.09067,0.49946213,0.7346804,1622.2688,0.0013555456,7.018282,0.5717506,6.2169013
0,3.5,0.14583333,4.8315973,38.375,16457.041,1010116.44,283.7726,0.049013812,2.8333333,0.11805555,0.29851523,10.144033,0.012214541,4.418296,0.018031554,13381.415
0,12.107463,0.01807084,369.15894,3014.4956,59.22239,22762.684,52.75733,0.0039626705,341.59402,0.50984186,0.74190146,2143.5593,0.0022755035,7.131979,0.5033809,55.27594
0,18.72973,0.05062089,59.82574,2161.9243,55.445946,113747.08,0.028279841,0.00064640195,119.11351,0.3219284,0.5877281,1220.5492,0.00045818475,6.5264573,0.27798647,42.505398
0,9.8970585,0.036386244,65.426414,996.125,199.61397,220823.67,0.18896613,0.001414641,86.65441,0.3185824,0.5820477,549.6575,0.00084520795,6.5661187,0.20435762,175.66878
1,13.502591,0.017490402,257.98312,3174.6826,5.084197,18898.61,0.0019552545,0.00050776964,373.18912,0.4834056,0.72301024,2211.409,0.00039283602,7.231548,0.580015,2.1116993
0,8.367347,0.08538109,12.066326,68.31633,1266.949,57339.01,224.95932,0.062099934,21.87755,0.22324032,0.48307893,33.66069,0.026726954,5.6295533,0.07362885,1082.4883
0,9.560811,0.016150018,357.3767,3265.7195,366.84967,12622.016,363.6771,0.0022684964,323.0,0.5456081,0.7659447,2410.4133,0.00046758723,7.010661,0.44477835,361.79477
0,16.045977,0.04610913,37.588287,1143.7241,74.554596,61491.08,0.10588298,0.0010068897,104.9023,0.3014434,0.5679502,644.4924,0.00056077534,6.421516,0.26145756,59.92617
1,2.5384614,0.19526628,5.6331363,61.307693,40931.152,1979894.2,880.29,0.09338538,2.0769231,0.1597633,0.24733983,15.093235,0.0063965656,3.2389011,0.009767093,30448.545
1,15.357575,0.023269054,207.9787,3573.0334,10.54394,40902.285,0.0034520281,0.00076475693,300.18484,0.45482552,0.7010095,2429.2502,0.00065734796,7.0620785,0.49586776,6.476995
1,15.99458,0.021672873,176.57446,2949.4958,6.5514903,17985.844,0.0034696348,0.0005053754,351.88617,0.47681054,0.7177323,2106.086,0.00036567746,6.987223,0.5544703,3.2987952
0,2.857143,0.20408164,3.9591837,35.0,38525.5,592388.2,24017.662,0.10470552,2.0,0.14285715,0.30651784,9.7507515,0.013355925,3.6644979,0.010518407,29486.924
0,5.4444447,0.30246913,1.7654321,49.22222,41583.61,1860196.0,949.79333,0.02382583,2.6666667,0.14814815,0.2565959,15.768348,0.0047327485,3.6835423,0.013523666,36115.832
0,17.908518,0.028246872,113.00011,2756.6467,13.626183,30940.422,0.0064885793,0.00046306636,293.08832,0.46228442,0.7064231,1946.4104,0.00034485577,6.7338157,0.4763336,9.218832
