label,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis
0,68.94594,0.059041705,84.012115,2225.3179,1.4780571,3101.9414,0.0007855544,0.0005106892,5.1236553,920.14276,0.78660303,0.87684214,0.17205712,0.9072758,2052.1904,0.0004578907
0,52.691658,0.042630542,59.31781,3111.785,1.2443837,3811.549,0.0004346353,0.00034502783,5.1591916,1072.9608,0.86749077,0.9286251,0.083443485,0.9457624,2956.0825,0.0003251885
0,158.35612,0.25692943,1.7738808,7.069059,9.8708515,26.662384,8.107427,0.4756448,3.9509885,225.28848,0.35203415,0.46055597,4.111679,0.5966179,5.5123367,0.19698748
1,70.02021,0.05875531,48.35237,10982.707,1.3955268,15564.989,0.0001273245,9.295921e-05,4.948007,973.4145,0.8156691,0.8950471,0.14266008,0.92156476,10076.649,8.612007e-05
0,33.140408,0.028937092,321.0872,1940.501,1.826734,2372.222,0.72910935,0.07695321,5.85927,937.96173,0.8207381,0.85759693,0.4582538,0.92177486,1853.2933,0.03457289
0,39.875923,0.03550197,292.52692,1398.001,2.0087504,1746.8973,0.9229139,0.1130623,5.800217,880.4488,0.7877481,0.83858293,0.5746349,0.9061993,1324.4459,0.06158913
0,33.389893,0.027118368,228.88332,2942.78,1.2703187,3550.9885,0.00062412006,0.00046421785,5.8385615,1065.7623,0.8650542,0.9246373,0.09808285,0.94437546,2811.6309,0.00043222154
0,47.520424,0.038719796,54.19004,3748.5002,1.281211,4773.1064,0.0003645907,0.00028257325,5.2088523,1058.511,0.8606072,0.9220944,0.100405246,0.94201785,3534.7148,0.00026585278
0,36.69598,0.038197745,520.1192,1878.2218,3.6811326,2114.3887,2.7395954,0.15017553,6.1102953,696.8112,0.7367872,0.7113217,1.6862416,0.8745689,1822.9061,0.046485353
0,216.70453,0.24234657,1.9723393,130.79007,3.9228985,532.76294,0.030425446,0.008619202,3.6345534,484.65582,0.52561665,0.6694793,1.1822636,0.73961955,95.63683,0.0066104596
0,39.408863,0.03751731,530.18097,2259.403,2.6553786,2709.2178,1.6358397,0.12206424,5.8410773,779.8575,0.74997014,0.7820609,1.0039208,0.88552505,2159.4673,0.039221033
0,30.883062,0.024961706,310.0028,1625.4012,1.276767,1887.7643,0.16670986,0.03275227,5.8594894,1097.6772,0.8867769,0.929492,0.11793537,0.9533827,1567.0155,0.01836795
0,135.43057,0.11682243,5.8211627,641.2413,1.4985212,963.2189,0.0024111976,0.0016207477,3.9030216,899.27985,0.77425635,0.871005,0.17590249,0.90147084,577.7781,0.0014639789
0,91.81416,0.078323066,23.84252,1324.5243,1.4520715,1883.787,0.0011925971,0.000815449,4.6579227,926.5994,0.7894393,0.88054097,0.15896074,0.9090686,1210.9795,0.0007400642
0,60.917374,0.05228061,67.371765,2530.7605,1.4959809,3585.322,0.00068547454,0.0004368793,5.1765676,918.70746,0.7873988,0.8749928,0.18503489,0.90778947,2329.686,0.00039139698
0,117.12191,0.09855137,19.035765,1370.5426,1.3974363,1889.7131,0.0010727965,0.0007639266,4.2501545,963.28687,0.8097837,0.8927932,0.14049822,0.9190284,1264.756,0.00070091954
0,61.923916,0.054960296,100.06566,775.0715,1.7429819,1163.6943,0.39532605,0.055474356,5.1497912,867.4242,0.7680158,0.8466162,0.33803797,0.8974103,702.2204,0.029411517
0,25.78452,0.020549117,322.495,4437.5493,1.2008343,5325.4326,0.0003757307,0.00030998318,6.071091,1124.4661,0.89543897,0.94255334,0.073013596,0.9576803,4245.1377,0.00029657187
0,187.64996,0.25205165,1.590491,44.826164,5.342512,254.88007,0.125852,0.028349284,3.9635012,304.3549,0.3949433,0.5566665,1.7091576,0.6331233,27.362011,0.01946591
0,133.23825,0.13249731,4.952063,88.02885,2.3045871,214.61629,0.033580277,0.016955018,4.1426134,625.7533,0.6168679,0.75536036,0.5137397,0.81143457,70.62181,0.014320901
0,104.42063,0.10837859,11.048603,102.845894,2.9880564,321.41592,0.1305371,0.050924838,4.5399075,585.58466,0.5898336,0.7215512,0.8414734,0.78876555,80.25094,0.039224867
0,94.348816,0.08054421,14.603103,529.02,1.4536289,768.511,0.004010926,0.0030921453,4.4749746,922.9964,0.78703433,0.8800208,0.15948008,0.9080909,480.46365,0.0029052708
0,288.74414,0.40997925,0.48183477,41.217335,7.02586,303.66046,0.1684469,0.025572794,3.2804854,266.6974,0.35911235,0.52886784,2.083225,0.58691573,23.598808,0.015515829
0,78.74766,0.06809344,61.031227,2759.254,1.5512644,4109.26,0.00061817066,0.00038914118,4.966774,901.3202,0.7773624,0.8677108,0.2110315,0.9023287,2518.2883,0.00034871255
0,39.33677,0.031373333,121.93127,1868.6935,1.2027804,2238.711,0.031019814,0.0133277625,5.505451,1122.7078,0.8943147,0.9420332,0.073270485,0.9571351,1788.1539,0.010882621
0,152.54277,0.16688341,9.2039175,232.39691,3.2293139,747.64606,0.13980064,0.037225936,4.106843,494.6705,0.5263191,0.68485236,0.8467539,0.7423051,172.27347,0.026528904
0,94.95698,0.078261524,31.058191,2844.5813,1.3165956,3759.3145,0.00050420663,0.00039356964,4.5116553,1020.4765,0.84052205,0.91157603,0.11173101,0.93357146,2652.954,0.0003703066
0,63.811684,0.05428119,30.692953,2438.2842,1.4487228,3461.064,0.0006343813,0.0004307679,4.986186,937.8436,0.7959145,0.88314164,0.16090056,0.9118306,2235.1838,0.0003910775
0,44.838184,0.036620524,136.26904,3328.676,1.2929593,4230.231,0.0005490815,0.000442655,5.575386,1051.0901,0.85793465,0.91955155,0.10768964,0.94118875,3145.5857,0.00042112614
1,22.338854,0.017603103,251.11012,3889.5696,1.1581688,4558.329,0.00040794734,0.00035321794,6.132735,1160.9886,0.914044,0.9534185,0.056249715,0.96555126,3742.6433,0.0003413643
0,117.816986,0.13173799,12.990492,92.26582,3.5311897,212.06804,1.682496,0.14189199,4.1922226,490.36243,0.54273534,0.6728313,1.2391751,0.7628024,74.91585,0.051426146
0,75.548706,0.06291712,19.58482,1976.7107,1.3770678,2739.2874,0.00072147895,0.0005275762,4.594141,1000.14844,0.82983506,0.9022713,0.1392,0.92754006,1830.5358,0.00049022643
0,275.77478,0.3504618,0.6918287,274.50952,5.1512113,1411.838,0.018915584,0.0036797712,3.363694,346.39893,0.4219031,0.5896087,1.5129105,0.6525674,179.15363,0.002405337
1,96.42845,0.109380774,15.616016,389.03284,3.8451815,1671.1663,0.010500379,0.003127413,4.674894,470.96487,0.51795334,0.66011673,1.1535964,0.73519707,275.97235,0.00237822
1,76.81193,0.07335665,15.978587,552.43604,2.1904263,1286.4847,0.00426177,0.0020763457,4.756516,714.51843,0.67322284,0.78714675,0.5004491,0.843895,457.56113,0.0017805465
0,78.338264,0.06641017,149.75255,1682.7955,1.4608469,2365.0527,0.14144939,0.032528207,5.0152416,952.6102,0.80582553,0.88643587,0.18272573,0.9167996,1546.6459,0.020001385
0,23.83295,0.018890921,568.9696,2451.1548,1.1970105,2748.0615,0.11432825,0.03242504,6.1901426,1147.2523,0.9092393,0.94775474,0.08302986,0.9635999,2380.4998,0.023247857
0,174.96426,0.26163906,1.2696303,82.20272,6.2928076,505.54855,0.08148975,0.012963045,4.029681,228.8759,0.329313,0.5025718,1.9025228,0.5553561,46.318344,0.007205846
0,59.78425,0.05022019,63.28507,1415.9666,1.3993186,1886.1967,0.0012354184,0.00084416626,5.058053,969.50134,0.81292045,0.8941802,0.14342394,0.92022276,1318.7346,0.0007678334
0,28.371017,0.022652132,274.36377,1450.9711,1.2325474,1646.2971,0.13945013,0.037985176,5.937607,1128.2836,0.9005785,0.9408773,0.10170432,0.9597622,1406.7976,0.027539695
0,103.7671,0.11305844,14.855201,91.68523,3.1852744,338.4975,0.19473927,0.0673585,4.5525513,522.36035,0.56493336,0.6860082,0.9721149,0.7780808,67.910576,0.052779708
0,126.031296,0.19675976,2.7749598,11.369687,8.169853,45.74724,5.625134,0.36912253,4.3391137,223.99051,0.33970258,0.47772062,3.214734,0.58327234,7.910347,0.15756524
0,33.60109,0.028345285,308.04248,2181.8997,1.5287739,2680.9197,0.39908215,0.055712517,5.846623,992.9197,0.83744264,0.8895567,0.25964317,0.93069655,2071.5261,0.02783249
0,80.85764,0.081218414,23.831705,118.426544,2.4681087,356.46057,0.09179336,0.040727217,4.762627,623.2713,0.6232278,0.7457088,0.6289385,0.8163269,91.87855,0.033250753
0,49.812775,0.05988768,506.0451,1559.6567,5.5542507,1837.513,4.6356664,0.20204209,5.826478,528.1067,0.64909905,0.6123794,2.8361075,0.82401377,1499.1407,0.05283055
0,46.430164,0.03733987,60.699696,1755.4426,1.2274175,2175.7534,0.00081743806,0.0006766271,5.24609,1092.9194,0.8781417,0.9341733,0.07939211,0.9503647,1663.753,0.0006458182
0,147.06929,0.14261858,4.3632717,98.15974,2.2327456,228.75566,0.027046487,0.013596399,3.9879355,674.8431,0.6445051,0.7741432,0.4759053,0.8259374,79.95737,0.011632407
0,187.08357,0.26262486,1.1840465,42.49319,5.557983,226.1273,0.14743575,0.02643824,3.9065387,264.71246,0.36110216,0.53372246,1.7084194,0.59593683,25.542192,0.015904065
0,44.260406,0.03566775,178.60739,495.05328,1.2385882,553.94385,0.017993394,0.013036877,5.5240817,1089.6252,0.8774751,0.9321505,0.085737795,0.9499275,481.63086,0.012067703
0,48.66453,0.039891787,54.35683,2342.729,1.3160257,3063.848,0.0006313057,0.00047322374,5.146447,1046.7683,0.8552038,0.916893,0.11844756,0.9393303,2202.3252,0.00044347328
0,60.562786,0.049641207,38.44383,1867.5864,1.301102,2422.3235,0.0007893263,0.0006158174,4.9777164,1039.3219,0.85096025,0.91660404,0.10846261,0.93807626,1752.5968,0.0005803349
0,61.00511,0.053374216,28.079052,1910.6202,1.5873712,3016.1536,0.00089040515,0.0005563516,4.9609823,877.48145,0.76488376,0.85875285,0.22140633,0.89590347,1713.5486,0.00049745094
0,35.94268,0.028242858,119.48917,2728.7302,1.1457475,3153.2737,0.0005550526,0.00049380225,5.5864005,1168.5261,0.9176622,0.9561348,0.05074815,0.96723956,2634.1196,0.0004798496
0,95.09517,0.09667716,13.686208,89.81722,2.6611938,283.55496,0.095651135,0.043121886,4.489908,617.88776,0.62356305,0.73675084,0.7480667,0.815254,69.09307,0.036569104
0,40.990005,0.03233563,168.57811,2631.4766,1.1567184,3066.6167,0.0010688899,0.00097628776,5.588836,1154.0054,0.9101068,0.9523782,0.053699255,0.96421325,2532.332,0.00095506926
0,97.98772,0.10504243,17.41679,86.61181,3.1330988,308.6558,0.48379025,0.12643144,4.5828767,535.2907,0.56485486,0.6969312,0.9293027,0.77571946,64.9671,0.085083246
1,85.09525,0.09017954,21.149698,206.37651,3.1898937,545.87744,0.029193154,0.007533547,4.7494893,571.1925,0.59548944,0.7056002,1.0211462,0.7951808,169.27084,0.0056877728
0,49.94027,0.040885173,50.294346,1324.8846,1.2946576,1730.389,0.0011743762,0.00090915314,5.123828,1040.7924,0.8500426,0.91770214,0.10240988,0.9373043,1238.9227,0.0008525585
