no,feature1,feature2,corrcoef
86,original_firstorder_10Percentile.nrrd,original_glszm_ZoneVariance.nrrd,0.6406722275497052
87,original_firstorder_10Percentile.nrrd,original_ngtdm_Busyness.nrrd,0.9479858503452416
88,original_firstorder_10Percentile.nrrd,original_ngtdm_Coarseness.nrrd,0.8790765122321332
89,original_firstorder_10Percentile.nrrd,original_ngtdm_Complexity.nrrd,0.808712302435507
90,original_firstorder_10Percentile.nrrd,original_ngtdm_Contrast.nrrd,0.9167300988191368
91,original_firstorder_10Percentile.nrrd,original_ngtdm_Strength.nrrd,0.9073231405550047
92,original_firstorder_90Percentile.nrrd,original_firstorder_Energy.nrrd,0.9489564554907574
93,original_firstorder_90Percentile.nrrd,original_firstorder_Entropy.nrrd,0.9941501289780785
94,original_firstorder_90Percentile.nrrd,original_firstorder_InterquartileRange.nrrd,0.9697374747127483
95,original_firstorder_90Percentile.nrrd,original_firstorder_Kurtosis.nrrd,0.9276657866787649
96,original_firstorder_90Percentile.nrrd,original_firstorder_Maximum.nrrd,0.9965612227197461
97,original_firstorder_90Percentile.nrrd,original_firstorder_Mean.nrrd,0.9986603034657718
98,original_firstorder_90Percentile.nrrd,original_firstorder_MeanAbsoluteDeviation.nrrd,0.9807526567993553
99,original_firstorder_90Percentile.nrrd,original_firstorder_Median.nrrd,0.9977109965666924
100,original_firstorder_90Percentile.nrrd,original_firstorder_Minimum.nrrd,0.8147987395225992
101,original_firstorder_90Percentile.nrrd,original_firstorder_Range.nrrd,0.9747935582691948
102,original_firstorder_90Percentile.nrrd,original_firstorder_RobustMeanAbsoluteDeviation.nrrd,0.9736771623872287
103,original_firstorder_90Percentile.nrrd,original_firstorder_RootMeanSquared.nrrd,0.9989740002554593
104,original_firstorder_90Percentile.nrrd,original_firstorder_Skewness.nrrd,-0.275814003
105,original_firstorder_90Percentile.nrrd,original_firstorder_TotalEnergy.nrrd,0.9489564554907574
106,original_firstorder_90Percentile.nrrd,original_firstorder_Uniformity.nrrd,0.9200495438509889
107,original_firstorder_90Percentile.nrrd,original_firstorder_Variance.nrrd,0.9187881684380351
108,original_firstorder_90Percentile.nrrd,original_glcm_Autocorrelation.nrrd,0.9905086914498815
109,original_firstorder_90Percentile.nrrd,original_glcm_ClusterProminence.nrrd,0.7350925294524047
110,original_firstorder_90Percentile.nrrd,original_glcm_ClusterShade.nrrd,-0.217759394
111,original_firstorder_90Percentile.nrrd,original_glcm_ClusterTendency.nrrd,0.9022648382704151
112,original_firstorder_90Percentile.nrrd,original_glcm_Contrast.nrrd,0.9036384547943901
113,original_firstorder_90Percentile.nrrd,original_glcm_Correlation.nrrd,0.9803471436567625
114,original_firstorder_90Percentile.nrrd,original_glcm_DifferenceAverage.nrrd,0.9729843377097078
115,original_firstorder_90Percentile.nrrd,original_glcm_DifferenceEntropy.nrrd,0.9918723041910386
116,original_firstorder_90Percentile.nrrd,original_glcm_DifferenceVariance.nrrd,0.8919060680599035
117,original_firstorder_90Percentile.nrrd,original_glcm_Id.nrrd,0.9625754158006609
118,original_firstorder_90Percentile.nrrd,original_glcm_Idm.nrrd,0.9421690226639535
119,original_firstorder_90Percentile.nrrd,original_glcm_Idmn.nrrd,0.9891615346228182
120,original_firstorder_90Percentile.nrrd,original_glcm_Idn.nrrd,0.9882124011289196
121,original_firstorder_90Percentile.nrrd,original_glcm_Imc1.nrrd,-0.978866521
122,original_firstorder_90Percentile.nrrd,original_glcm_Imc2.nrrd,0.9909492142125936
123,original_firstorder_90Percentile.nrrd,original_glcm_InverseVariance.nrrd,0.9420239644500475
