no,feature1,feature2,corrcoef
634,original_firstorder_Mean.nrrd,original_glcm_ClusterProminence.nrrd,0.7098471533567751
635,original_firstorder_Mean.nrrd,original_glcm_ClusterShade.nrrd,-0.222007627
650,original_firstorder_Mean.nrrd,original_glcm_JointEnergy.nrrd,0.7707707194616856
667,original_firstorder_Mean.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7463502351915013
670,original_firstorder_Mean.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.615093681037767
677,original_firstorder_Mean.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7628667368084519
678,original_firstorder_Mean.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7409729973066531
686,original_firstorder_Mean.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.735092063512928
691,original_firstorder_Mean.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.7596680108020045
692,original_firstorder_Mean.nrrd,original_glszm_LargeAreaHighGrayLevelEmphasis.nrrd,0.7947533384301593
693,original_firstorder_Mean.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7327793413065609
694,original_firstorder_Mean.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.6710657314959987
699,original_firstorder_Mean.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.6102185499700161
702,original_firstorder_Mean.nrrd,original_glszm_ZoneVariance.nrrd,0.6200082867772282
709,original_firstorder_MeanAbsoluteDeviation.nrrd,original_firstorder_Minimum.nrrd,0.7270157394625931
713,original_firstorder_MeanAbsoluteDeviation.nrrd,original_firstorder_Skewness.nrrd,-0.319898178
719,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glcm_ClusterShade.nrrd,-0.29665476
734,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glcm_JointEnergy.nrrd,0.6707054895878983
736,original_firstorder_MeanAbsoluteDeviation.nrrd,original_glcm_MaximumProbability.nrrd,0.7578645877237095
751,original_firstorder_MeanAbsoluteDeviation.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7781408881690315
754,original_firstorder_MeanAbsoluteDeviation.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.6725461526255271
